dataset,experiment,result,recommendation,measured,notes
20G,output write time,0.5-10% of total,no optimization needed,true,write is negligible
50G,output write time,0.6-5.8% of total,no optimization needed,true,write is negligible
20G,dynamic scheduling,~static tie,static kept as default; task counts ~500-1500 have low variance,estimated,pending measured comparison
20G,thread pinning,not tested,deferred,false,needs pthread_setaffinity
20G,pthreads preadv,not tested,deferred,false,superblocks non-contiguous in Morton layout
20G,io_uring,not tested,deferred,false,needs liburing + cmake
20G,native compiler,not tested,deferred,false,-march=native may help
20G,final command,sb parallel-read t8 + X-panel s4,20G T_total=68ms,true,--
50G,final command,sb parallel-read t8 no-panel,50G T_total=315ms,true,--
20G,bottleneck,ThreadPool task scheduling overhead,scaling limited beyond 8 threads (thread-scaling evidence from #21),true,"suspected mutex contention; direct perf profiling deferred"
